id,timestamp,localtime,percentage_of_can_ids,MotorSpeed_340920578,PackCurr_6,PackVol_6,Throttle_408094978,SOC_8,DchgFetStatus_9,DchgOverTempProt_9,DchgUnderTempProt_9,PackUnderVolProt_9,PackOverVolProt_9,DchgOverCurrProt_9,CellOverVolProt_9,ChgPeakProt_9,FetFailure_9,IgnitionStatus_12,Throttle_Error_408094978,DriveError_Motor_hall_408094978,Motor_Stalling_408094978,Motor_Phase_loss_408094978,Controller_Over_Temeprature_408094978,Motor_Over_Temeprature_408094978,Overcurrent_Fault_408094978,DriveError_Controller_OverVoltag_408094978,Controller_Undervoltage_408094978,MOSFET_Protection_408094978,BatteryVoltage_340920578,BatteryCurrent_340920578,AC_Current_340920579,AC_Voltage_340920580,CellUnderVolWarn_9,Dchg_Accumulative_Ah_14,ChargerType_12,CellVol02_1,PcbTemp_12,Reverse_Pulse_408094978,LatchProtection_12,Temp6_10,Temp3_10,ForwardParking_Mode_Ack_408094978,CellOverDevProt_9,AvgCellVol_5,MinVoltId_5,DriveStatus1_Ride_418513673,LoadDetection_12,Set_Regen_418513673,number_of_records,ChgOverCurrProt_9,BuzzerStatus_12,MinCellVol_5,CellVol04_1,CellOverVolWarn_9,CellVol08_2,CellBalFeatureStatus_12,Temp2_10,CellUnderVolProt_9,Temp8_10,Hill_hold_Ack_408094978,CellVol06_2,AfeTemp_12,LatchType_12,DI1_12,Wakeup_Ack_408094978,PreChgFetStatus_9,DchgOverTempWarn_9,MCU_ID_408094979,BMS_Serial_No_MUX_11,Temp1_10,DriveStatus2_Reverse_Request_418513673,Mode_Ack_408094978,ModeR_Pulse_408094978,VCU_ID_418513673,ResSocProt_9,CellVol12_3,HwVer_13,Temp4_10,Side_Stand_Ack_408094978,DchgUnderTempWarn_9,ChgFetStatus_9,ImmoChg_12,timestamp,ChargeSOP_16,BMS_Serial_No__1_7_11,FWSubVer_13,CellVol05_2,ShortCktProt_9,DO2_12,BattLowSocWarn_9,ChgUnderTempWarn_9,BmsStatus_8,ChgOverTempProt_9,InternalFWSubVer_21,Chg_Accumulative_Ah_14,Park_Pulse_408094978,CellVol16_4,CellVol07_2,InternalFWVer_21,sequence,CellVol01_1,LedStatus_9,MaxTempId_7,CellVol15_4,CellVol09_3,DschgPeakProt_9,Motor_Temperature_408094979,_3v3Vol_15,ChargerDetection_12,Actual_SoC_18,SOCAh_8,Usable_Capacity_Ah_18,BMS_Serial_No_Bytes_8_14_11,Mode_Request_418513673,PackOverVolWarn_9,Temp7_10,ChgOverTempWarn_9,SOH_8,Temp5_10,MaxCellVol_5,Direction_Ack_408094978,DC_Current_Limit_418513673,Ride_Ack_408094978,MaxVoltId_5,BMS_Serial_No__15_11,_12vVol_15,MCU_Fault_Code_408094979,CycleCount_7,MCU_Temperature_408094979,TempSenseFault_9,Hill_Hold_418513673,MinTemp_7,CellVol13_4,DchgSOP_16,Drive_418513673,CellVol14_4,FetTemp_8,WakeUp_Request_418513673,PackUnderVolWarn_9,CellVol10_3,ConfigVer_21,FetTempProt_9,number_of_can_ids,ChgAuth_9,Brake_Pulse_408094978,CellVol03_1,ForwardPark_Request_418513673,CanCommDetection_12,DriveStatus_Regenerative_Braking_408094978,MinTempId_7,ResStatus_9,ModeL_Pulse_408094978,CellVolMinMaxDev_7,ImmoDchg_12,CellChemType_12,ChgUnderTempProt_9,CellVol11_3,MaxTemp_7,RefVol_15,_5vVol_15,DO1_12,SideStand_Pulse_408094978,FwVer_13,DI2_12,ActiveCellBalStatus_9
4,1710382463678,14/03/2024 07:44:23.678,25.0,1008,,,96,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,5.1,0.0,0.0,0.0,,,,3.248,,0,,,,0,,,,,,,6,,,,3.245,,,,,,,0,,,,,1,,,260,,,,1,0,,,,,,0,,,,1710382463678,,,,,,,,,,,,,0,,,,25209,3.248,,,,,,100,,,,,,,,,,,,,,0,,1,,,,0,,60,,,,,,,,,,,,,,6,,0,3.246,,,0,,,0,,,,,,,,,,0,,,
4,1710382463578,14/03/2024 07:44:23.578,95.833336,1018,-0.225,51.945,96,25,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.1,0.0,0.0,0.0,0,1461874,2,3.248,61,0,0,41,40,0,0,3.246,7,1,0,20,33,0,0,3.243,3.245,0,3.243,0,40,0,40,0,3.247,63,0,0,1,0,0,260,,38,0,1,0,0,0,3.248,5718322,40,0,0,0,0,1710382463578,20000,,12337,3.249,0,0,0,0,33,0,12854,1489.524,0,3.245,3.243,3354936,25202,3.248,0,6,3.248,3.244,0,100,3.292,0,2579.04,10.213,37.2,,1,0,40,0,99,39,3.25,0,83,1,14,,12.173,0,49,60,0,0,38,3.246,68242,1800,3.25,62,1,0,3.249,4272433,0,23,1,0,3.247,0,1,0,1,0,0,0.007,0,2,0,3.245,41,5.07,5.063,0,0,4469048,0,0
4,1710382463513,14/03/2024 07:44:23.513,91.666664,1016,-0.307,51.947,96,25,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.1,0.0,0.0,0.0,0,1461874,2,3.248,61,0,0,41,40,0,0,3.246,7,,0,,22,0,0,3.243,3.245,0,3.243,0,40,0,40,0,3.247,62,0,0,1,0,0,260,,38,,1,0,,0,3.248,5718322,40,0,0,0,0,1710382463513,20000,,12337,3.249,0,0,0,0,33,0,12854,1489.524,0,3.245,3.243,3354936,25156,3.248,0,6,3.249,3.245,0,100,3.292,0,2579.04,10.213,37.2,,,0,40,0,99,39,3.25,0,,1,14,,12.178,0,49,60,0,,38,3.246,68242,,3.25,62,,0,3.249,4272433,0,22,1,0,3.247,,1,0,1,0,0,0.007,0,2,0,3.245,41,5.058,5.065,0,0,4469048,0,0
4,1710382463418,14/03/2024 07:44:23.418,91.666664,1028,-0.307,51.944,93,25,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.1,0.0,0.0,0.0,0,1461874,2,3.248,61,0,0,41,40,0,0,3.246,7,,0,,27,0,0,3.243,3.245,0,3.243,0,40,0,40,0,3.247,62,0,0,1,0,0,260,,38,,1,0,,0,3.247,5718322,40,0,0,0,0,1710382463418,20000,,12337,3.249,0,0,0,0,33,0,12854,1489.524,0,3.245,3.243,3354936,25133,3.248,0,6,3.248,3.245,0,100,3.293,0,2579.04,10.213,37.2,,,0,40,0,99,39,3.25,0,,1,14,,12.178,0,49,60,0,,38,3.246,68242,,3.25,62,,0,3.249,4272433,0,22,1,0,3.246,,1,0,1,0,0,0.007,0,2,0,3.245,41,5.065,5.063,0,0,4469048,0,0
4,1710382463340,14/03/2024 07:44:23.340,91.666664,1002,-0.307,51.944,93,25,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.1,0.0,0.0,0.0,0,1461874,2,3.248,61,0,0,41,40,0,0,3.246,7,,0,,22,0,0,3.243,3.245,0,3.243,0,40,0,40,0,3.247,62,0,0,1,0,0,260,,38,,1,0,,0,3.248,5718322,40,0,0,0,0,1710382463340,20000,,12337,3.249,0,0,0,0,33,0,12854,1489.524,0,3.245,3.243,3354936,25099,3.248,0,6,3.248,3.244,0,100,3.292,0,2579.04,10.213,37.2,,,0,40,0,99,39,3.25,0,,1,14,,12.241,0,49,60,0,,38,3.246,68242,,3.25,62,,0,3.249,4272433,0,22,1,0,3.246,,1,0,1,0,0,0.007,0,2,0,3.245,41,5.08,5.065,0,0,4469048,0,0
4,1710382463258,14/03/2024 07:44:23.258,20.833334,1048,,,93,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,5.1,0.0,0.0,0.0,,,,,,0,,,,0,,,,,,,10,,,,,,,,,,,0,,,,,1,,,260,,,,1,0,,,,,,0,,,,1710382463258,,,,,,,,,,,,,0,,,,25070,,,,,,,100,,,,,,,,,,,,,,0,,1,,,,0,,60,,,,,,,,,,,,,,5,,0,,,,0,,,0,,,,,,,,,,0,,,
4,1710382463178,14/03/2024 07:44:23.178,91.666664,1022,-0.307,51.942,92,25,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.1,0.0,0.0,0.0,0,1461874,2,3.248,61,0,0,41,40,0,0,3.246,7,,0,,22,0,0,3.243,3.245,0,3.243,0,40,0,40,0,3.247,62,0,0,1,0,0,260,,38,,1,0,,0,3.248,5718322,40,0,0,0,0,1710382463178,20000,,12337,3.249,0,0,0,0,33,0,12854,1489.524,0,3.244,3.243,3354936,25054,3.247,0,6,3.248,3.244,0,100,3.292,0,2579.04,10.213,37.2,,,0,40,0,99,39,3.25,0,,1,14,,12.182,0,49,60,0,,38,3.246,68242,,3.25,62,,0,3.249,4272433,0,22,1,0,3.246,,1,0,1,0,0,0.007,0,2,0,3.245,41,5.058,5.026,0,0,4469048,0,0
4,1710382463098,14/03/2024 07:44:23.098,91.666664,1036,-0.307,51.94,90,25,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.1,0.0,0.0,0.0,0,1461874,2,3.248,61,0,0,41,40,0,0,3.246,7,,0,,27,0,0,3.243,3.245,0,3.243,0,40,0,40,0,3.247,63,0,0,1,0,0,260,,38,,1,0,,0,3.247,5718322,40,0,0,0,0,1710382463098,20000,,12337,3.248,0,0,0,0,33,0,12854,1489.524,0,3.244,3.243,3354936,25031,3.247,0,6,3.248,3.244,0,100,3.292,0,2579.04,10.213,37.2,,,0,40,0,99,39,3.25,0,,1,14,,12.178,0,49,60,0,,38,3.246,68242,,3.25,62,,0,3.249,4272433,0,22,1,0,3.246,,1,0,1,0,0,0.007,0,2,0,3.245,41,5.06,5.065,0,0,4469048,0,0
4,1710382463020,14/03/2024 07:44:23.020,91.666664,1029,-0.307,51.94,80,25,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.1,0.0,0.0,0.0,0,1461874,2,3.248,60,0,0,41,40,0,0,3.246,7,,0,,22,0,0,3.243,3.245,0,3.243,0,40,0,40,0,3.247,63,0,0,1,0,0,260,,38,,1,0,,0,3.247,5718322,40,0,0,0,0,1710382463020,20000,,12337,3.248,0,0,0,0,33,0,12854,1489.524,0,3.244,3.243,3354936,24997,3.247,0,6,3.248,3.244,0,100,3.294,0,2579.04,10.213,37.2,,,0,40,0,99,39,3.25,0,,1,14,,12.182,0,49,60,0,,38,3.246,68242,,3.25,62,,0,3.249,4272433,0,22,1,0,3.246,,1,0,1,0,0,0.007,0,2,0,3.245,41,5.065,5.068,0,0,4469048,0,0
4,1710382462938,14/03/2024 07:44:22.938,91.666664,1040,-0.46,51.938,68,25,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.1,0.0,0.0,0.0,0,1461874,2,3.247,61,0,0,41,40,0,0,3.246,7,,0,,27,0,0,3.242,3.245,0,3.243,0,40,0,40,0,3.247,63,0,0,1,0,0,260,,38,,1,0,,0,3.247,5718322,40,0,0,0,0,1710382462938,20000,,12337,3.248,0,0,0,0,33,0,12854,1489.524,0,3.244,3.242,3354936,24968,3.247,0,6,3.248,3.244,0,100,3.289,0,2579.04,10.213,37.2,,,0,40,0,99,39,3.25,0,,1,14,,12.182,0,49,60,0,,38,3.246,68242,,3.25,62,,0,3.249,4272433,0,22,1,0,3.246,,1,0,1,0,0,0.008,0,2,0,3.245,41,5.055,5.026,0,0,4469048,0,0
