id,timestamp,localtime,percentage_of_can_ids,MotorSpeed_340920578,PackCurr_6,PackVol_6,Throttle_408094978,SOC_8,DchgFetStatus_9,DchgOverTempProt_9,DchgUnderTempProt_9,PackUnderVolProt_9,PackOverVolProt_9,DchgOverCurrProt_9,CellOverVolProt_9,ChgPeakProt_9,FetFailure_9,IgnitionStatus_12,Throttle_Error_408094978,DriveError_Motor_hall_408094978,Motor_Stalling_408094978,Motor_Phase_loss_408094978,Controller_Over_Temeprature_408094978,Motor_Over_Temeprature_408094978,Overcurrent_Fault_408094978,DriveError_Controller_OverVoltag_408094978,Controller_Undervoltage_408094978,MOSFET_Protection_408094978,BatteryVoltage_340920578,BatteryCurrent_340920578,AC_Current_340920579,AC_Voltage_340920580,CellUnderVolWarn_9,Dchg_Accumulative_Ah_14,ChargerType_12,CellVol02_1,PcbTemp_12,Reverse_Pulse_408094978,LatchProtection_12,Temp6_10,Temp3_10,ForwardParking_Mode_Ack_408094978,CellOverDevProt_9,AvgCellVol_5,MinVoltId_5,DriveStatus1_Ride_418513673,LoadDetection_12,Set_Regen_418513673,number_of_records,ChgOverCurrProt_9,BuzzerStatus_12,MinCellVol_5,CellVol04_1,CellOverVolWarn_9,CellVol08_2,CellBalFeatureStatus_12,Temp2_10,CellUnderVolProt_9,Temp8_10,Hill_hold_Ack_408094978,CellVol06_2,AfeTemp_12,LatchType_12,DI1_12,Wakeup_Ack_408094978,PreChgFetStatus_9,DchgOverTempWarn_9,MCU_ID_408094979,BMS_Serial_No_MUX_11,Temp1_10,DriveStatus2_Reverse_Request_418513673,Mode_Ack_408094978,ModeR_Pulse_408094978,VCU_ID_418513673,ResSocProt_9,CellVol12_3,HwVer_13,Temp4_10,Side_Stand_Ack_408094978,DchgUnderTempWarn_9,ChgFetStatus_9,ImmoChg_12,timestamp,ChargeSOP_16,BMS_Serial_No__1_7_11,FWSubVer_13,CellVol05_2,ShortCktProt_9,DO2_12,BattLowSocWarn_9,ChgUnderTempWarn_9,BmsStatus_8,ChgOverTempProt_9,InternalFWSubVer_21,Chg_Accumulative_Ah_14,Park_Pulse_408094978,CellVol16_4,CellVol07_2,InternalFWVer_21,sequence,CellVol01_1,LedStatus_9,MaxTempId_7,CellVol15_4,CellVol09_3,DschgPeakProt_9,Motor_Temperature_408094979,_3v3Vol_15,ChargerDetection_12,Actual_SoC_18,SOCAh_8,Usable_Capacity_Ah_18,BMS_Serial_No_Bytes_8_14_11,Mode_Request_418513673,PackOverVolWarn_9,Temp7_10,ChgOverTempWarn_9,SOH_8,Temp5_10,MaxCellVol_5,Direction_Ack_408094978,DC_Current_Limit_418513673,Ride_Ack_408094978,MaxVoltId_5,BMS_Serial_No__15_11,_12vVol_15,MCU_Fault_Code_408094979,CycleCount_7,MCU_Temperature_408094979,TempSenseFault_9,Hill_Hold_418513673,MinTemp_7,CellVol13_4,DchgSOP_16,Drive_418513673,CellVol14_4,FetTemp_8,WakeUp_Request_418513673,PackUnderVolWarn_9,CellVol10_3,ConfigVer_21,FetTempProt_9,number_of_can_ids,ChgAuth_9,Brake_Pulse_408094978,CellVol03_1,ForwardPark_Request_418513673,CanCommDetection_12,DriveStatus_Regenerative_Braking_408094978,MinTempId_7,ResStatus_9,ModeL_Pulse_408094978,CellVolMinMaxDev_7,ImmoDchg_12,CellChemType_12,ChgUnderTempProt_9,CellVol11_3,MaxTemp_7,RefVol_15,_5vVol_15,DO1_12,SideStand_Pulse_408094978,FwVer_13,DI2_12,ActiveCellBalStatus_9
4,1710382176986,14/03/2024 07:39:36.986,25.0,,-34.754,50.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,,,,,,,,3.164,8,,,,6,,,3.148,3.166,,3.148,,,,,,3.168,,,,,,,,,,,,,,,3.167,,,,,,,1710382176986,,,,3.172,,,,,,,,,,3.156,3.16,,38335,3.162,,,3.168,3.168,,,,,,,,,,,,,,,3.172,,,,5,,,,,,,,,3.161,,,3.169,,,,3.169,,,6,,,3.163,,,,,,,,,,,3.16,,,,,,,,
4,1710382176906,14/03/2024 07:39:36.906,91.666664,2977,-46.09,50.45,16,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.9,46.5,69.2,2.6,1,1457865,2,3.16,56,0,0,39,38,0,0,3.153,8,,0,,27,0,0,3.131,3.154,0,3.131,0,38,0,38,0,3.155,58,0,0,1,0,0,256,,36,,3,0,,0,3.156,5718322,38,0,0,1,0,1710382176906,20000,,12337,3.162,0,0,0,0,4,0,12854,1489.322,0,3.145,3.148,3354936,38328,3.149,0,6,3.16,3.158,0,96,3.293,0,3540.4,14.02,37.2,,,0,38,0,99,37,3.164,0,,1,14,,12.182,0,48,53,0,,36,3.153,75000,,3.164,60,,1,3.157,4272433,0,22,1,0,3.15,,1,0,1,0,0,0.033,0,2,0,3.148,39,5.058,5.061,0,0,4469048,0,0
4,1710382176826,14/03/2024 07:39:36.826,91.666664,2994,-47.237,50.385,17,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.9,48.1,70.7,2.6,1,1457865,2,3.157,56,0,0,39,38,0,0,3.149,8,,0,,27,0,0,3.128,3.15,0,3.128,0,38,0,38,0,3.154,58,0,0,1,0,0,256,,36,,3,0,,0,3.154,5718322,38,0,0,1,0,1710382176826,20000,,12337,3.157,0,0,0,0,4,0,12854,1489.322,0,3.135,3.147,3354936,38294,3.144,0,6,3.156,3.155,0,96,3.293,0,3540.4,14.02,37.2,,,0,38,0,99,37,3.157,0,,1,2,,12.165,0,48,53,0,,36,3.143,75000,,3.157,60,,1,3.155,4272433,0,22,1,0,3.15,,1,0,1,0,0,0.029,0,2,0,3.143,39,5.075,5.065,0,0,4469048,0,0
4,1710382176750,14/03/2024 07:39:36.750,25.0,2996,,,17,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4.8,51.3,71.0,2.6,,,,,,0,,,,0,,,,1,,20,6,,,,,,,,,,,0,,,,,1,,,256,,,0,3,0,0,,,,,0,,,,1710382176750,,,,,,,,,,,,,0,,,,38260,,,,,,,96,,,,,,,3,,,,,,,0,115,1,,,,0,,53,,0,,,,4500,,,1,,,,,6,,0,,0,,0,,,0,,,,,,,,,,0,,,
4,1710382176666,14/03/2024 07:39:36.666,91.666664,2971,-63.242,50.005,20,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.8,61.9,70.6,2.7,1,1457865,2,3.132,56,0,0,39,38,0,0,3.125,8,,0,,27,0,0,3.096,3.126,0,3.096,0,38,0,38,0,3.13,58,0,0,1,0,0,256,,36,,3,0,,0,3.13,5718322,38,0,0,1,0,1710382176666,20000,,12337,3.133,0,0,0,0,4,0,12854,1489.322,0,3.113,3.122,3354936,38254,3.119,0,6,3.134,3.133,0,96,3.266,0,3540.4,14.02,37.2,,,0,38,0,99,37,3.137,0,,1,14,,12.173,0,48,53,0,,36,3.126,75000,,3.137,60,,1,3.131,4272433,0,22,1,0,3.126,,1,0,1,0,0,0.041,0,2,0,3.117,39,5.048,5.028,0,0,4469048,0,0
4,1710382176586,14/03/2024 07:39:36.586,91.666664,2987,-76.175,49.894,28,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.8,77.7,68.7,2.7,1,1457865,2,3.127,56,0,0,39,38,0,0,3.118,8,,0,,22,0,0,3.086,3.119,0,3.086,0,38,0,38,0,3.126,58,0,0,1,0,0,256,,36,,3,0,,0,3.121,5718322,38,0,0,1,0,1710382176586,20000,,12337,3.129,0,0,0,0,4,0,12854,1489.322,0,3.102,3.113,3354936,38220,3.11,0,6,3.126,3.13,0,96,3.292,0,3540.4,14.02,37.2,,,0,38,0,99,37,3.13,0,,1,9,,12.178,0,48,53,0,,36,3.121,75000,,3.13,60,,1,3.124,4272433,0,22,1,0,3.118,,1,0,1,0,0,0.044,0,2,0,3.112,39,5.06,5.063,0,0,4469048,0,0
4,1710382176507,14/03/2024 07:39:36.507,95.833336,2981,-75.724,49.916,30,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.8,80.8,67.4,2.7,1,1457865,2,3.131,56,0,0,39,38,0,0,3.119,8,1,0,20,28,0,0,3.088,3.12,0,3.088,0,38,0,38,0,3.126,58,0,0,1,0,0,256,,36,0,3,0,0,0,3.124,5718322,38,0,0,1,0,1710382176507,20000,,12337,3.13,0,0,0,0,4,0,12854,1489.322,0,3.106,3.117,3354936,38191,3.11,0,6,3.128,3.13,0,96,3.275,0,3540.4,14.02,37.2,,3,0,38,0,99,37,3.131,0,115,1,2,,12.203,0,48,53,0,0,36,3.119,75000,4500,3.13,60,1,1,3.124,4272433,0,23,1,0,3.12,0,1,0,1,0,0,0.043,0,2,0,3.113,39,5.058,5.04,0,0,4469048,0,0
4,1710382176435,14/03/2024 07:39:36.435,62.5,2955,,,30,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.8,79.6,62.9,2.7,1,1457865,2,,56,0,0,39,38,0,0,,,,0,,20,0,0,,,0,,0,38,0,38,0,,58,0,0,1,0,0,256,,36,,3,0,,0,,5718322,38,0,0,1,0,1710382176435,20000,,12337,,0,0,0,0,4,0,12854,1489.322,0,,,3354936,38156,,0,,,,0,96,3.295,0,3540.4,14.02,37.2,,,0,38,0,99,37,,0,,1,,,12.246,0,,53,0,,,,75000,,,60,,1,,4272433,0,15,1,0,,,1,0,,0,0,,0,2,0,,,5.083,5.068,0,0,4469048,0,0
4,1710382176346,14/03/2024 07:39:36.346,50.0,2952,-76.789,49.926,30,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4.8,79.8,61.1,2.7,,,,3.129,,0,,,,0,,3.12,8,,,,12,,,3.09,3.122,,3.09,,,,,0,3.125,,,,1,,,256,,,,3,0,,,3.124,,,0,,,,1710382176346,,,,3.132,,,,,,,,,0,3.106,3.116,,38127,3.114,,6,3.129,3.129,,96,,,,,,,,,,,,,3.132,0,,1,5,,,0,48,53,,,36,3.123,,,3.131,,,,3.127,,,12,,0,3.118,,,0,1,,0,0.042,,,,3.111,39,,,,0,,,
4,1710382176266,14/03/2024 07:39:36.266,95.833336,2947,-74.188,49.949,30,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.8,79.6,59.2,2.7,1,1457865,2,3.132,56,0,0,39,38,0,0,3.121,8,1,0,20,25,0,0,3.093,3.125,0,3.093,0,38,0,38,0,3.126,58,0,0,1,0,0,256,,36,0,3,0,0,0,3.125,5718322,38,0,0,1,0,1710382176266,20000,,12337,3.133,0,0,0,0,4,0,12854,1489.322,0,3.104,3.118,3354936,38114,3.114,0,6,3.13,3.129,0,96,3.294,0,3540.4,14.02,37.2,,3,0,38,0,99,37,3.133,0,115,1,5,,12.178,0,48,53,0,0,36,3.123,75000,4500,3.132,60,1,1,3.127,4272433,0,23,1,0,3.122,0,1,0,1,0,0,0.04,0,2,0,3.116,39,5.073,5.065,0,0,4469048,0,0
4,1710382176186,14/03/2024 07:39:36.186,91.666664,2946,-74.567,49.978,30,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.8,79.3,55.1,2.7,1,1457865,2,3.133,56,0,0,39,38,0,0,3.123,8,,0,,25,0,0,3.091,3.122,0,3.091,0,38,0,38,0,3.13,58,0,0,1,0,0,256,,36,,3,0,,0,3.126,5718322,38,0,0,1,0,1710382176186,20000,,12337,3.135,0,0,0,0,4,0,12854,1489.322,0,3.107,3.121,3354936,38082,3.114,0,6,3.135,3.134,0,96,3.269,0,3540.4,14.02,37.2,,,0,38,0,99,37,3.136,0,,1,14,,12.182,0,48,53,0,,36,3.124,75000,,3.136,60,,1,3.127,4272433,0,22,1,0,3.124,,1,0,1,0,0,0.045,0,2,0,3.119,39,5.05,5.028,0,0,4469048,0,0
4,1710382176106,14/03/2024 07:39:36.106,91.666664,2928,-71.895,50.041,30,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.8,78.3,50.7,2.7,1,1457865,2,3.139,56,0,0,39,38,0,0,3.127,8,,0,,27,0,0,3.097,3.13,0,3.097,0,38,0,38,0,3.135,58,0,0,1,0,0,256,,36,,3,0,,0,3.131,5718322,38,0,0,1,0,1710382176106,20000,,12337,3.137,0,0,0,0,4,0,12854,1489.322,0,3.111,3.121,3354936,38050,3.119,0,6,3.137,3.138,0,96,3.298,0,3540.4,14.02,37.2,,,0,38,0,99,37,3.139,0,,1,2,,12.275,0,48,53,0,,36,3.127,75000,,3.138,60,,1,3.134,4272433,0,22,1,0,3.127,,1,0,1,0,0,0.042,0,2,0,3.12,39,5.088,5.072,0,0,4469048,0,0
4,1710382176012,14/03/2024 07:39:36.012,95.833336,2917,-68.597,50.113,30,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.8,75.6,48.5,2.6,1,1457865,2,3.141,56,0,0,39,38,0,0,3.132,8,1,0,20,28,0,0,3.098,3.135,0,3.098,0,38,0,38,0,3.138,58,0,0,1,0,0,256,,36,0,3,0,0,0,3.138,5718322,38,0,0,1,0,1710382176012,20000,,12337,3.14,0,0,0,0,4,0,12854,1489.322,0,3.117,3.127,3354936,38016,3.122,0,6,3.142,3.139,0,96,3.293,0,3540.4,14.02,37.2,,3,0,38,0,99,37,3.145,0,115,1,14,,12.182,0,48,53,0,0,36,3.134,75000,4500,3.145,60,1,1,3.14,4272433,0,23,1,0,3.13,0,1,0,1,0,0,0.047,0,2,0,3.127,39,5.068,5.065,0,0,4469048,0,0
4,1710382175929,14/03/2024 07:39:35.929,91.666664,2913,-65.617,50.326,30,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.8,72.2,44.3,2.6,1,1457855,2,3.159,56,0,0,39,38,0,0,3.145,8,,0,,27,0,0,3.12,3.148,0,3.12,0,38,0,38,0,3.154,58,0,0,1,0,0,256,,36,,3,0,,0,3.145,5718322,38,0,0,1,0,1710382175929,20000,,12337,3.154,0,0,0,0,4,0,12854,1489.322,0,3.127,3.144,3354936,37981,3.146,0,6,3.15,3.152,0,96,3.295,0,3542.92,14.03,37.2,,,0,38,0,99,37,3.159,0,,1,2,,12.267,0,48,53,0,,36,3.143,75000,,3.151,60,,1,3.149,4272433,0,22,1,0,3.149,,1,0,1,0,0,0.039,0,2,0,3.135,39,5.085,5.07,0,0,4469048,0,0
4,1710382175846,14/03/2024 07:39:35.846,20.833334,2906,,,28,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4.9,61.4,41.4,2.5,,,,,,0,,,,0,,,,,,,5,,,,,,,,,,,0,,,,,1,,,256,,,,3,0,,,,,,0,,,,1710382175846,,,,,,,,,,,,,0,,,,37947,,,,,,,96,,,,,,,,,,,,,,0,,1,,,,0,,53,,,,,,,,,,,,,,5,,0,,,,0,,,0,,,,,,,,,,0,,,
4,1710382175766,14/03/2024 07:39:35.766,95.833336,2890,-49.152,50.661,25,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.9,51.8,40.9,2.5,1,1457855,2,3.171,56,0,0,39,38,0,0,3.166,8,1,0,20,23,0,0,3.138,3.163,0,3.138,0,38,0,38,0,3.165,58,0,0,1,0,0,256,,36,0,3,0,0,0,3.176,5718322,38,0,0,1,0,1710382175766,20000,,12337,3.169,0,0,0,0,4,0,12854,1489.322,0,3.161,3.158,3354936,37942,3.161,0,6,3.178,3.163,0,96,3.295,0,3542.92,14.03,37.2,,3,0,38,0,99,37,3.179,0,115,1,14,,12.186,0,48,53,0,0,36,3.17,75000,4500,3.179,60,1,1,3.176,4272433,0,23,1,0,3.164,0,1,0,1,0,0,0.041,0,2,0,3.169,39,5.068,5.068,0,0,4469048,0,0
4,1710382175686,14/03/2024 07:39:35.686,91.666664,2889,-29.173,50.92,13,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,31.9,41.0,2.4,1,1457855,2,3.189,56,0,0,39,38,0,0,3.182,8,,0,,29,0,0,3.168,3.185,0,3.168,0,38,0,38,0,3.187,58,0,0,1,0,0,256,,36,,3,0,,0,3.183,5718322,38,0,0,1,0,1710382175686,20000,,12337,3.191,0,0,0,0,4,0,12854,1489.322,0,3.173,3.179,3354936,37912,3.182,0,6,3.184,3.184,0,96,3.279,0,3542.92,14.03,37.2,,,0,38,0,99,37,3.191,0,,1,5,,12.173,0,48,53,0,,36,3.18,75000,,3.187,60,,1,3.186,4272433,0,22,1,0,3.186,,1,0,1,0,0,0.023,0,2,0,3.176,39,5.053,5.026,0,0,4469048,0,0
4,1710382175623,14/03/2024 07:39:35.623,91.666664,2869,-26.03,50.962,10,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,27.2,43.3,2.4,1,1457855,2,3.19,56,0,0,39,38,0,0,3.185,8,,0,,25,0,0,3.174,3.186,0,3.174,0,38,0,38,0,3.188,58,0,0,1,0,0,256,,36,,3,0,,0,3.187,5718322,38,0,0,1,0,1710382175623,20000,,12337,3.191,0,0,0,0,4,0,12854,1489.322,0,3.179,3.181,3354936,37876,3.184,0,6,3.19,3.186,0,96,3.294,0,3542.92,14.03,37.2,,,0,38,0,99,37,3.191,0,,1,5,,12.178,0,48,53,0,,36,3.185,75000,,3.191,60,,1,3.186,4272433,0,22,1,0,3.185,,1,0,1,0,0,0.017,0,2,0,3.179,39,5.075,5.065,0,0,4469048,0,0
4,1710382175527,14/03/2024 07:39:35.527,45.833332,2885,,,10,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5.0,24.4,45.6,2.4,,1457855,,,,0,,,,0,,,,1,,20,16,,,,,,,,,,,0,,,,,1,,,256,,,0,3,0,0,,,,,0,,,,1710382175527,20000,,,,,,,,,,12854,1489.322,0,,,3354936,37844,,,,,,,96,3.295,,3542.92,,37.2,,3,,,,,,,0,115,1,,,12.275,0,,53,,0,,,75000,4500,,,1,,,4272433,,11,,0,,0,,0,,,0,,,,,,,5.085,5.07,,0,,,
4,1710382175446,14/03/2024 07:39:35.446,70.833336,2901,-24.954,50.957,10,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,24.3,46.9,2.4,1,,2,3.189,56,0,0,39,38,0,0,3.184,8,,0,,17,0,0,3.169,3.185,0,3.169,0,38,0,38,0,3.187,58,0,0,1,0,0,256,,36,,3,0,,0,3.187,5718322,38,0,0,1,0,1710382175446,,,12337,3.192,0,0,0,0,4,0,,,0,3.179,3.18,,37822,3.183,0,6,3.189,3.186,0,96,,0,,14.03,,,,0,38,0,99,37,3.192,0,,1,5,,,0,48,53,0,,36,3.186,,,3.192,60,,1,3.189,,0,17,1,0,3.185,,1,0,1,0,0,0.023,0,2,0,3.179,39,,,0,0,4469048,0,0
